1.003529551207e+00+3.305533615672e-01j; 2.097508550780e-01+1.360315360277e-01j; 1.568991929804e-01-1.029395094164e-01j; 9.603948521388e-01-1.715663115628e-01j
1.000054259209e+00+3.370370684699e-01j; 2.096323925993e-01+1.361616102729e-01j; 1.565148583766e-01-1.024154846245e-01j; 9.615280733032e-01-1.679033495677e-01j
9.965655335203e-01+3.433258980053e-01j; 2.094660266702e-01+1.362604754676e-01j; 1.561231649519e-01-1.018884235206e-01j; 9.626345234487e-01-1.641504638833e-01j
9.930684177236e-01+3.494177504375e-01j; 2.092519587535e-01+1.363281209061e-01j; 1.557246527904e-01-1.013587108594e-01j; 9.637126743754e-01-1.603095431023e-01j
9.895679098623e-01+3.553107022764e-01j; 2.089904808964e-01+1.363645955291e-01j; 1.553198699660e-01-1.008267327534e-01j; 9.647610117372e-01-1.563825438876e-01j
9.860689532897e-01+3.610030029558e-01j; 2.086819750922e-01+1.363700079555e-01j; 1.549093719595e-01-1.002928762408e-01j; 9.657780379513e-01-1.523714900644e-01j
9.825764277867e-01+3.664930712238e-01j; 2.083269124706e-01+1.363445263998e-01j; 1.544937210655e-01-9.975752885551e-02j; 9.667622751047e-01-1.482784716070e-01j
9.790951409595e-01+3.717794912702e-01j; 2.079258523184e-01+1.362883784755e-01j; 1.540734857919e-01-9.922107819645e-02j; 9.677122678509e-01-1.441056435210e-01j
9.756298199346e-01+3.768610086118e-01j; 2.074794409331e-01+1.362018508827e-01j; 1.536492402516e-01-9.868391149943e-02j; 9.686265862890e-01-1.398552246196e-01j
9.721851033627e-01+3.817365257599e-01j; 2.069884103110e-01+1.360852889830e-01j; 1.532215635466e-01-9.814641521031e-02j; 9.695038288202e-01-1.355294961949e-01j
9.687655337457e-01+3.864050976944e-01j; 2.064535766735e-01+1.359390962599e-01j; 1.527910391462e-01-9.760897456073e-02j; 9.703426249725e-01-1.311308005832e-01j
9.653755500959e-01+3.908659271674e-01j; 2.058758388332e-01+1.357637336663e-01j; 1.523582542598e-01-9.707197314658e-02j; 9.711416381880e-01-1.266615396256e-01j
9.620194809367e-01+3.951183598597e-01j; 2.052561764045e-01+1.355597188614e-01j; 1.519237992038e-01-9.653579250976e-02j; 9.718995685655e-01-1.221241730254e-01j
9.587015376546e-01+3.991618794163e-01j; 2.045956478608e-01+1.353276253355e-01j; 1.514882667648e-01-9.600081172375e-02j; 9.726151555520e-01-1.175212166019e-01j
9.554258082063e-01+4.029961023815e-01j; 2.038953884440e-01+1.350680814270e-01j; 1.510522515594e-01-9.546740698323e-02j; 9.732871805746e-01-1.128552404438e-01j
9.521962511893e-01+4.066207730592e-01j; 2.031566079282e-01+1.347817692318e-01j; 1.506163493900e-01-9.493595119849e-02j; 9.739144696085e-01-1.081288669632e-01j
9.490166902779e-01+4.100357583206e-01j; 2.023805882439e-01+1.344694234062e-01j; 1.501811565997e-01-9.440681359484e-02j; 9.744958956727e-01-1.033447688525e-01j
9.458908090284e-01+4.132410423816e-01j; 2.015686809661e-01+1.341318298680e-01j; 1.497472694244e-01-9.388035931750e-02j; 9.750303812472e-01-9.850566694763e-02j
9.428221460559e-01+4.162367215723e-01j; 2.007223046723e-01+1.337698243951e-01j; 1.493152833452e-01-9.335694904255e-02j; 9.755169006068e-01-9.361432799868e-02j
9.398140905823e-01+4.190229991189e-01j; 1.998429421748e-01+1.333842911260e-01j; 1.488857924394e-01-9.283693859409e-02j; 9.759544820628e-01-8.867356235351e-02j
9.368698783562e-01+4.216001799609e-01j; 1.989321376324e-01+1.329761609648e-01j; 1.484593887338e-01-9.232067856826e-02j; 9.763422101095e-01-8.368622155598e-02j
9.339925879428e-01+4.239686656199e-01j; 1.979914935482e-01+1.325464098917e-01j; 1.480366615570e-01-9.180851396440e-02j; 9.766792274678e-01-7.865519586354e-02j
9.311851373823e-01+4.261289491425e-01j; 1.970226676588e-01+1.320960571855e-01j; 1.476181968963e-01-9.130078382374e-02j; 9.769647370212e-01-7.358341168821e-02j
9.284502812129e-01+4.280816101329e-01j; 1.960273697207e-01+1.316261635572e-01j; 1.472045767550e-01-9.079782087606e-02j; 9.771980036393e-01-6.847382896522e-02j
9.257906078557e-01+4.298273098937e-01j; 1.950073582002e-01+1.311378292019e-01j; 1.467963785145e-01-9.029995119464e-02j; 9.773783558834e-01-6.332943845424e-02j
9.232085373560e-01+4.313667866897e-01j; 1.939644368737e-01+1.306321917699e-01j; 1.463941743001e-01-8.980749385984e-02j; 9.775051875897e-01-5.815325897790e-02j
9.207063194768e-01+4.327008511513e-01j; 1.929004513445e-01+1.301104242622e-01j; 1.459985303515e-01-8.932076063177e-02j; 9.775779593264e-01-5.294833460306e-02j
9.182860321381e-01+4.338303818299e-01j; 1.918172854830e-01+1.295737328536e-01j; 1.456100063990e-01-8.884005563224e-02j; 9.775961997198e-01-4.771773177008e-02j
9.159495801956e-01+4.347563209198e-01j; 1.907168577969e-01+1.290233546478e-01j; 1.452291550459e-01-8.836567503644e-02j; 9.775595066470e-01-4.246453637580e-02j
9.136986945532e-01+4.354796701566e-01j; 1.896011177392e-01+1.284605553685e-01j; 1.448565211578e-01-8.789790677455e-02j; 9.774675482904e-01-3.719185081609e-02j
9.115349316009e-01+4.360014869038e-01j; 1.884720419598e-01+1.278866269911e-01j; 1.444926412588e-01-8.743703024370e-02j; 9.773200640533e-01-3.190279099381e-02j
9.094596729712e-01+4.363228804368e-01j; 1.873316305095e-01+1.273028853186e-01j; 1.441380429374e-01-8.698331603050e-02j; 9.771168653322e-01-2.660048329854e-02j
9.074741256060e-01+4.364450084326e-01j; 1.861819030024e-01+1.267106675077e-01j; 1.437932442597e-01-8.653702564438e-02j; 9.768578361443e-01-2.128806156415e-02j
9.055793221267e-01+4.363690736715e-01j; 1.850248947442e-01+1.261113295481e-01j; 1.434587531932e-01-8.609841126212e-02j; 9.765429336097e-01-1.596866401068e-02j
9.037761214985e-01+4.360963209586e-01j; 1.838626528349e-01+1.255062437010e-01j; 1.431350670403e-01-8.566771548371e-02j; 9.761721882848e-01-1.064543017690e-02j
9.020652099803e-01+4.356280342675e-01j; 1.826972322524e-01+1.248967959013e-01j; 1.428226718828e-01-8.524517109981e-02j; 9.757457043488e-01-5.321497850176e-03j
9.004471023527e-01+4.349655341112e-01j; 1.815306919243e-01+1.242843831280e-01j; 1.425220420380e-01-8.483100087104e-02j; 9.752636596402e-01-1.492941898879e-17j
8.989221434152e-01+4.341101751436e-01j; 1.803650907964e-01+1.236704107482e-01j; 1.422336395262e-01-8.442541731932e-02j; 9.747263055449e-01+5.315938278129e-03j
8.974905097436e-01+4.330633439900e-01j; 1.792024839048e-01+1.230562898402e-01j; 1.419579135521e-01-8.402862253144e-02j; 9.741339667366e-01+1.062320280202e-02j
8.961522116991e-01+4.318264573107e-01j; 1.780449184585e-01+1.224434344992e-01j; 1.416952999979e-01-8.364080797498e-02j; 9.734870407687e-01+1.591869331881e-02j
8.949070956815e-01+4.304009600938e-01j; 1.768944299419e-01+1.218332591331e-01j; 1.414462209314e-01-8.326215432689e-02j; 9.727859975204e-01+2.119932649125e-02j
8.937548466164e-01+4.287883241772e-01j; 1.757530382419e-01+1.212271757510e-01j; 1.412110841281e-01-8.289283131469e-02j; 9.720313784979e-01+2.646203884793e-02j
8.926949906695e-01+4.269900469968e-01j; 1.746227438100e-01+1.206265912525e-01j; 1.409902826081e-01-8.253299757063e-02j; 9.712237959935e-01+3.170378969126e-02j
8.917268981788e-01+4.250076505566e-01j; 1.735055238636e-01+1.200329047196e-01j; 1.407841941883e-01-8.218280049869e-02j; 9.703639321038e-01+3.692156395702e-02j
8.908497867965e-01+4.228426806169e-01j; 1.724033286364e-01+1.194475047198e-01j; 1.405931810512e-01-8.184237615479e-02j; 9.694525376109e-01+4.211237501970e-02j
8.900627248329e-01+4.204967060947e-01j; 1.713180776835e-01+1.188717666231e-01j; 1.404175893293e-01-8.151184914009e-02j; 9.684904307292e-01+4.727326743769e-02j
